Team,Player,PT,AST,REB,STL,BLK,TO,Expected_FD_Point,Position,SimLineup,MyLineup
Lakers,Brandon Ingram,21,3,2,2,0,3,30.9,SF,0,1
Lakers,Julius Randle,19,0,6,0,0,5,21.2,PF,1,1
Lakers,Kentavious Caldwell-Pope,18,0,3,0,0,0,21.6,SG,1,0
Lakers,Brook Lopez,15,0,6,1,1,1,27.2,C,0,0
Lakers,Jordan Clarkson,9,1,2,2,0,4,14.9,SG,0,0
Lakers,Kyle Kuzma,7,0,9,1,0,2,18.8,PF,0,0
Lakers,Lonzo Ball,3,9,14,2,0,1,38.3,PG,0,0
Lakers,Andrew Bogut,2,0,1,0,1,0,6.2,C,0,0
Lakers,Tyler Ennis,2,1,1,0,0,0,4.7,PG,0,0
Lakers,Josh Hart,1,0,5,2,0,1,12,PG,0,0
Lakers,Corey Brewer,0,1,3,1,0,0,8.1,SF,0,0
Lakers,Luol Deng,0,0,0,0,0,0,0,PF,0,0
Wizards,John Wall,21,4,4,2,1,1,39.8,PG,0,0
Wizards,Marcin Gortat,20,0,12,1,0,4,33.4,C,0,0
Wizards,Bradley Beal,19,5,3,2,1,2,37.1,SG,0,1
Wizards,Mike Scott,11,0,3,0,0,2,12.6,PF,0,0
Wizards,Otto Porter Jr.,11,0,7,2,1,2,26.4,SF,0,0
Wizards,Kelly Oubre Jr.,9,0,10,2,0,5,22,SF,0,1
Wizards,Jason Smith,5,0,0,0,0,0,5,PF,0,0
Wizards,Ian Mahinmi,4,0,4,0,1,2,9.8,C,0,0
Wizards,Markieff Morris,3,0,2,0,0,0,5.4,PF,0,0
Wizards,Tim Frazier,2,3,4,0,0,2,9.3,PG,0,0
Wizards,Tomas Satoransky,2,0,0,0,0,0,2,SF,0,0
Wizards,Jodie Meeks,1,1,1,3,0,1,11.7,SG,0,0
Pelicans,DeMarcus Cousins,22,4,15,2,1,6,49,C,0,0
Pelicans,Anthony Davis,16,1,20,0,1,3,41.5,C,0,0
Pelicans,Ian Clark,15,0,2,2,0,0,23.4,PG,0,0
Pelicans,Jameer Nelson,11,3,2,0,1,1,19.9,PG,0,0
Pelicans,Jrue Holiday,11,9,6,3,0,3,37.7,PG,0,1
Pelicans,Dante Cunningham,7,0,10,1,0,1,21,PF,0,0
Pelicans,Tony Allen,6,0,0,0,0,0,6,SG,0,0
Pelicans,E'Twaun Moore,4,2,3,0,0,3,7.6,SG,0,0
Pelicans,Darius Miller,2,0,1,0,0,1,2.2,SG,0,0
Pelicans,Cheick Diallo,0,0,2,0,0,0,2.4,PF,0,0
Pelicans,Josh Smith,0,0,1,0,0,0,1.2,PF,0,0
Raptors,DeMar DeRozan,21,1,5,3,0,6,31.5,SG,0,0
Raptors,Serge Ibaka,16,0,3,0,0,1,18.6,PF,0,0
Raptors,Kyle Lowry,13,8,5,1,0,1,33,PG,0,1
Raptors,Delon Wright,11,1,4,1,0,0,20.3,PG,0,0
Raptors,Norman Powell,10,2,2,1,0,1,17.4,SG,0,0
Raptors,CJ Miles,8,0,2,0,0,1,9.4,SF,0,0
Raptors,Lucas Nogueira,6,0,3,0,1,0,12.6,C,0,0
Raptors,Pascal Siakam,6,0,5,2,0,0,18,PF,0,0
Raptors,Jakob Poeltl,6,0,12,0,0,1,19.4,PF,0,0
Raptors,Jonas Valanciunas,4,0,7,1,0,2,13.4,C,0,0
Raptors,Fred VanVleet,4,1,3,0,0,0,9.1,SG,0,0
Raptors,OG Anunoby,2,1,5,0,0,1,8.5,PF,0,0
Raptors,Bruno Caboclo,0,0,0,0,0,0,0,SF,0,0
Cavaliers,LeBron James,33,13,11,1,2,4,70.7,SF,1,0
Cavaliers,Kevin Love,22,0,16,1,0,2,42.2,C,1,0
Cavaliers,Jeff Green,12,0,3,0,0,1,14.6,PF,0,0
Cavaliers,Kyle Korver,9,1,2,1,0,0,15.9,SG,0,0
Cavaliers,Derrick Rose,9,0,4,0,0,0,13.8,PG,0,0
Cavaliers,JR Smith,5,2,6,0,0,2,13.2,SG,0,0
Cavaliers,Dwyane Wade,4,4,2,2,0,1,17.4,SG,0,0
Cavaliers,Channing Frye,2,0,0,1,0,0,5,C,0,0
Cavaliers,Jae Crowder,2,0,6,0,0,1,8.2,PF,0,0
Cavaliers,Iman Shumpert,1,0,3,0,0,0,4.6,SG,0,0
Cavaliers,Ante Zizic,0,0,0,0,0,1,-1,PF,0,0
Cavaliers,Cedi Osman,0,0,0,0,0,0,0,C,0,0
Rockets,James Harden,29,12,9,4,0,6,63.8,SG,0,0
Rockets,Eric Gordon,26,6,3,1,0,2,39.6,SG,0,0
Rockets,Clint Capela,16,1,14,0,2,1,39.3,C,0,1
Rockets,Ryan Anderson,15,0,7,0,0,2,21.4,PF,0,0
Rockets,Trevor Ariza,11,0,6,0,0,0,18.2,SF,0,0
Rockets,Luc Mbah a Moute,7,0,4,2,1,1,19.8,SF,0,0
Rockets,Nene Hilario,5,1,6,0,0,0,13.7,PF,0,0
Rockets,Zhou Qi,2,0,0,0,0,0,2,C,0,0
Rockets,PJ Tucker,2,0,7,2,0,2,14.4,SF,0,0
Rockets,Tarik Black,2,0,2,0,0,0,4.4,C,0,0
Rockets,Demetrius Jackson,0,0,2,0,0,0,2.4,PG,0,0
Rockets,Bobby Brown,0,2,0,0,0,0,3,SG,0,0
76ers,Joel Embiid,25,5,11,0,0,3,42.7,C,0,0
76ers,Ben Simmons,18,7,13,1,0,6,41.1,PF,0,0
76ers,Robert Covington,17,4,4,1,1,3,30.8,SF,0,0
76ers,Dario Saric,10,1,9,0,0,3,19.3,PF,0,0
76ers,Justin Anderson,8,0,3,0,0,1,10.6,SF,0,0
76ers,JJ Redick,8,2,3,0,0,1,13.6,SG,1,0
76ers,T.J. McConnell,8,6,1,2,0,4,20.2,PG,0,0
76ers,Amir Johnson,7,0,15,1,0,0,28,PF,0,0
76ers,Richaun Holmes,0,0,2,0,0,0,2.4,PF,0,0
76ers,Timothe Luwawu-Cabarrot,0,0,5,0,0,1,5,SG,0,0
76ers,Nik Stauskas,0,0,0,0,0,0,0,SG,0,0
Kings,Zach Randolph,22,0,3,1,0,4,24.6,PF,0,1
Kings,Skal Labissiere,16,0,7,0,1,1,26.4,PF,0,0
Kings,De'Aaron Fox,14,6,6,0,0,3,27.2,PG,1,0
Kings,George Hill,10,2,5,1,0,1,21,PG,0,0
Kings,Willie Cauley-Stein,8,3,7,1,0,1,22.9,C,0,0
Kings,Buddy Hield,8,2,2,2,0,0,19.4,SG,0,0
Kings,Justin Jackson,8,1,4,0,0,0,14.3,SF,0,0
Kings,Kosta Koufos,6,1,12,0,1,0,24.9,C,0,0
Kings,Malachi Richardson,5,1,0,0,0,0,6.5,SF,0,0
Kings,Garrett Temple,4,1,1,5,0,1,20.7,SG,0,0
Kings,Vince Carter,3,0,1,2,0,0,10.2,SF,0,0
Kings,Bogdan Bogdanovic,3,0,2,2,0,0,11.4,SF,0,0
Kings,Frank Mason III,1,1,0,0,0,1,1.5,PG,0,0
Kings,JaKarr Sampson,0,0,1,0,0,0,1.2,PF,0,0
Thunder,Paul George,20,3,8,2,0,4,36.1,SF,0,0
Thunder,Russell Westbrook,19,8,21,2,0,4,58.2,PG,1,0
Thunder,Carmelo Anthony,19,0,7,0,1,1,29.4,PF,0,1
Thunder,Raymond Felton,15,1,1,1,0,2,18.7,PG,0,0
Thunder,Andre Roberson,10,0,9,1,0,2,21.8,SG,0,0
Thunder,Alex Abrines,9,0,1,1,0,2,11.2,SF,0,0
Thunder,Josh Huestis,3,0,2,0,0,0,5.4,SG,0,0
Thunder,Steven Adams,2,1,28,1,0,1,39.1,C,0,1
Thunder,Terrance Ferguson,2,0,0,0,0,0,2,SF,0,0
Thunder,Patrick Patterson,0,1,0,1,0,0,4.5,PF,0,0
Thunder,Jerami Grant,0,1,9,1,0,1,14.3,PF,0,0
Nuggets,Emmanuel Mudiay,18,2,3,0,0,2,22.6,PG,0,0
Nuggets,Paul Millsap,16,5,14,0,0,3,37.3,PF,0,0
Nuggets,Gary Harris,14,3,2,2,0,3,23.9,SG,0,0
Nuggets,Nikola Jokic,11,5,17,0,1,4,37.9,C,0,0
Nuggets,Will Barton,11,2,13,2,0,2,33.6,SF,1,0
Nuggets,Wilson Chandler,8,2,5,1,0,0,20,SF,0,0
Nuggets,Mason Plumlee,8,2,12,1,1,1,30.4,C,0,0
Nuggets,Jamal Murray,6,1,7,1,0,1,17.9,PG,0,0
Nuggets,Malik Beasley,5,0,0,1,0,1,7,SG,0,0
Nuggets,Kenneth Faried,2,0,5,0,0,0,8,PF,0,0
Nuggets,Trey Lyles,2,0,0,0,0,0,2,PF,0,0
Nuggets,Darrell Arthur,0,0,1,0,0,0,1.2,PF,0,0
Nuggets,Juan Hernangomez,0,0,0,0,0,0,0,C,0,0
